channel,y,x
1,92,136
1,37,125
1,86,140
1,43,121
1,52,154
1,68,124
1,9,123
1,69,176
1,53,122
1,73,167
1,79,128
1,2,121
1,69,153
1,39,228
1,30,263
1,17,270
1,29,228
1,20,256
1,14,255
1,38,254
1,21,259
1,41,426
1,90,384
1,95,366
1,29,432
1,24,449
1,48,455
1,17,440
1,89,368
1,35,443
1,9,465
1,29,362
1,8,446
1,83,385
1,56,380
1,11,453
1,45,414
1,87,373
1,50,453
1,15,467
1,46,369
1,71,414
1,39,350
1,70,411
1,96,401
1,80,411
1,78,415
1,45,358
1,6,445
1,38,453
1,14,464
1,59,407
1,44,385
1,28,454
1,45,372
1,37,464
1,49,399
1,85,364
1,51,410
1,87,385
1,45,464
1,27,453
1,43,360
1,42,369
1,17,353
1,72,378
1,55,409
1,42,460
1,61,385
1,28,465
1,23,361
1,8,367
1,44,430
1,40,360
1,74,401
1,16,481
1,99,400
1,34,618
1,38,618
1,9,908
1,10,941
1,16,1080
1,108,1075
1,5,1081
1,72,1076
1,59,1077
1,25,1077
1,28,1083
1,4,1097
1,61,1080
1,94,1198
1,78,1193
1,35,1257
1,29,1212
1,26,1216
1,24,1216
1,69,1212
1,3,1378
1,2,691
1,33,664
1,10,710
1,19,791
1,16,799
1,26,795
1,39,789
1,35,777
1,6,760
1,18,779
1,12,776
1,25,778
1,18,787
1,36,788
1,208,1078
1,61,1119
1,169,1060
1,32,1138
1,38,1176
1,190,1086
1,49,911
1,112,926
1,152,886
1,118,903
1,40,943
1,167,879
1,146,879
1,135,949
1,144,852
1,61,939
1,114,909
1,60,916
1,145,864
1,131,890
1,152,852
1,79,929
1,123,900
1,148,852
1,55,832
1,180,881
1,74,921
1,171,850
1,58,905
1,158,895
1,75,932
1,122,865
1,109,929
1,161,850
1,175,890
1,54,829
1,55,900
1,141,890
1,46,849
1,158,856
1,42,846
1,66,925
1,66,930
1,35,918
1,168,879
1,150,876
1,69,937
1,120,906
1,45,852
1,91,939
1,122,917
1,127,947
1,113,935
1,70,928
1,127,884
1,59,870
1,60,838
1,127,932
1,38,942
1,142,891
1,171,874
1,110,925
1,129,930
1,69,932
1,62,876
1,184,868
1,40,917
1,175,893
1,123,870
1,97,941
1,39,819
1,71,1029
1,31,529
1,60,563
1,51,513
1,83,523
1,61,525
1,121,589
1,123,608
1,123,610
1,124,592
1,63,581
1,127,626
1,88,343
1,48,340
1,55,205
1,76,199
1,82,257
1,106,212
1,67,199
1,82,290
1,78,281
1,59,250
1,58,269
1,70,200
1,83,244
1,85,275
1,74,261
1,60,1359
1,126,1294
1,67,1356
1,125,1317
1,124,1304
1,116,1342
1,87,1320
1,117,1324
1,82,1323
1,132,1295
1,112,1293
1,115,1329
1,113,1337
1,85,1309
1,68,694
1,261,627
1,228,624
1,75,694
1,193,991
1,97,959
1,80,952
1,193,968
1,250,991
1,218,821
1,229,939
1,105,952
