area,intensity_mean,intensity_std,intensity_max,intensity_min,perimeter,cell_id,image_id,condition
4669.0,771.7297065752838,522.3467546798653,3509.0,141.0,505.20919882223956,2,F01_202,control
7866.0,276.04614797864224,125.95031299500513,1069.0,117.0,515.445742854949,3,F01_202,control
6945.0,428.92210223182144,254.124969075177,1445.0,123.0,453.5462479183373,4,F01_202,control
9735.0,489.90734463276834,267.6620757456812,1934.0,132.0,577.3635277547903,5,F01_202,control
7749.0,313.54006968641113,125.6739697712686,1243.0,124.0,493.28636328851496,6,F01_202,control
6557.0,531.8506939149001,310.2263581549594,2414.0,129.0,505.6234123846127,7,F01_202,control
6720.0,607.3290178571428,376.9079221467911,2428.0,138.0,747.239682094289,8,F01_202,control
8249.0,520.0386713541035,415.61167244175334,2463.0,130.0,818.1808075912434,10,F01_202,control
17915.0,387.32397432319283,177.18596118902857,1312.0,113.0,674.1980515339465,11,F01_202,control
5667.0,550.8673019234162,399.25952730634,2585.0,130.0,349.84776310850236,12,F01_202,control
9685.0,370.84068146618483,137.83219997771636,1082.0,132.0,747.796031280393,13,F01_202,control
7023.0,524.7209169870425,343.36964393091637,2445.0,133.0,522.2152954766495,15,F01_202,control
8885.0,415.33359594822736,192.76623192679776,1760.0,144.0,562.0142853498728,16,F01_202,control
5130.0,650.7890838206628,387.12974886197577,2808.0,151.0,305.4213562373095,17,F01_202,control
4424.0,1134.4708408679928,879.6262327126944,4095.0,141.0,545.9371208835976,19,F01_202,control
5283.0,732.1796327844028,468.19416321720445,2493.0,145.0,593.405158315133,20,F01_202,control
3591.0,800.3625730994152,471.90985961605764,2554.0,159.0,464.3919189857866,21,F01_202,control
12061.0,301.98126191858057,110.14735770029614,1173.0,107.0,506.45793616376875,22,F01_202,control
11099.0,403.3398504369763,231.00339856598669,2197.0,136.0,578.5584412271571,23,F01_202,control
8175.0,509.3776146788991,182.48595180432667,1226.0,165.0,418.6761902332485,24,F01_202,control
6031.0,601.1464102138949,418.2658056210735,2730.0,150.0,592.1147904132612,25,F01_202,control
5998.0,482.1077025675225,239.93996360076093,1718.0,157.0,506.9432175380074,26,F01_202,control
1666.0,781.2262905162065,457.22950707707173,2173.0,181.0,217.18986283848344,27,F01_202,control
4781.0,533.8291152478561,308.51002199649406,2071.0,141.0,355.1553749530772,28,F01_202,control
5855.0,583.1144321093083,299.1944343324637,1785.0,144.0,475.0548698896889,29,F01_202,control
9296.0,491.4100688468158,257.5253059807466,1909.0,129.0,513.1025971044414,30,F01_202,control
4468.0,725.0810205908684,537.681609024941,2920.0,159.0,598.842712474619,31,F01_202,control
7140.0,429.24187675070027,168.7332949627038,1367.0,129.0,555.8071785686863,32,F01_202,control
5776.0,710.6513157894736,343.008433242212,1736.0,150.0,458.13203435596427,33,F01_202,control
5380.0,578.3526022304833,259.5639896155172,1473.0,127.0,430.3746750430836,34,F01_202,control
5296.0,653.7046827794562,351.8144922497133,2581.0,144.0,398.9188309203679,35,F01_202,control
1537.0,295.69486011711126,94.8833955121412,559.0,111.0,272.7523086789974,36,F01_202,control
1799.0,737.7443023902168,437.4175963873582,2118.0,157.0,206.65180361560905,38,F01_202,control
6347.0,567.3626910351347,304.71738891913515,1869.0,148.0,559.7716446627536,39,F01_202,control
4420.0,678.8796380090498,372.5993262355438,1938.0,147.0,326.14927829866735,40,F01_202,control
